1,CXCL1
2,CXCL2
3,C2
4,CXCL3
5,CDC25B
6,LYN
7,CD44
8,DUSP10
9,SLC7A11
10,PHLDA1
11,BHLHE40
12,SH3PXD2B
13,ARNTL2
14,SLC6A6
15,IFITM3
16,SLC7A5
17,STRIP2
18,TIMP1
19,THY1
20,LOXL2
21,CD55
22,PODXL
23,COL1A1
24,COL4A1
25,MMP7
26,FXYD5
27,OLFML2B
28,CALU
29,SPARC
30,PLAU
31,FCGR3A
32,CEMIP
33,ASAP1
34,RIPK2
35,TGFBI
36,IFITM1
37,SCD
38,ENC1
39,PLCB1
40,COL5A2
41,SERPINE2
42,ELOVL5
43,WNT5A
44,FKBP10
45,CXCL11
46,CLDN1
47,SPP1
48,FADS1
49,KLF7
50,CXCL8
51,NPSR1
52,COL12A1
53,CDH3
